BV/TV,ROI Number,S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66,Scan,Variation Coefficient,m1,m2,m3
0.2152,1.0,207.68428988055675,93.99476901390717,96.71244453030738,93.99476901390717,591.5504898085749,191.5651747092993,96.71244453030735,191.5651747092993,969.200264973529,571.2151552631196,255.480000382149,234.78622620876664,C0001406_SEG_UNCOMP,0.21088264366362552,0.6583,1.08107,1.26062
0.1363,2.0,128.0722035708649,42.37846158736628,38.740492590707795,42.37846158736628,251.2782965605712,78.84188957988464,38.740492590707795,78.84188957988464,432.8384726796259,245.84130408362876,119.36424038337412,114.70841872544963,C0001406_SEG_UNCOMP,0.1853910455683938,0.73725,1.02583,1.23692
0.1801,3.0,245.57774705224222,87.52199730244396,102.57263218796868,87.52199730244398,284.4397981345675,95.33842447237501,102.57263218796868,95.33842447237502,754.2632755299023,276.3949224375708,279.5688685421726,192.4323669645585,C0001406_SEG_UNCOMP,0.18845118921221146,0.83216,0.8938,1.27404
0.1989,4.0,252.2204409497429,98.99718441115132,87.16313045281058,98.99718441115131,505.67126712139674,132.99832101649662,87.16313045281058,132.99832101649662,888.3573107050709,412.44655595553877,249.65309122334682,254.2686697803747,C0001406_SEG_UNCOMP,0.21424491867608175,0.75473,1.00443,1.24084
0.1927,5.0,258.54857416445634,79.22136757109823,86.10560280188483,79.22136757109823,434.19024981675767,113.27247815543615,86.10560280188483,113.27247815543619,913.1169369948846,372.4694295208545,243.55397597724254,196.94012820418354,C0001406_SEG_UNCOMP,0.221315128847254,0.75295,0.9636,1.28346
0.1446,6.0,155.75688499801183,53.989986369690946,41.388824032701436,53.989986369690946,283.57716523028955,86.95433565774134,41.38882403270144,86.95433565774134,580.3334728805775,281.2215387841714,134.63602751190743,143.15457901192318,C0001406_SEG_UNCOMP,0.2551178793926466,0.7216600000000001,1.01785,1.2605
0.4102,1.0,1940.4226628224255,636.9538471478915,532.7347574580585,636.9538471478915,2258.609818048909,598.3534440955266,532.7347574580585,598.3534440955266,2711.283436254113,1456.5702643744016,1229.225119123591,1407.1315080238892,C0001415_SEG_UNCOMP,0.24604060203254047,0.81208,0.92715,1.2607700000000002
0.44799999999999995,2.0,1778.973746573774,641.8621536600202,554.169923046042,641.8621536600202,2399.086142350876,729.9400220175444,554.1699230460421,729.9400220175445,3233.863588563179,1828.7586133084453,1340.6008876625556,1364.5223703136453,C0001415_SEG_UNCOMP,0.25587604784799695,0.7592300000000001,0.96611,1.2746600000000001
0.4141,3.0,1685.141275033362,633.8466058170025,568.8207009999968,633.8466058170023,2272.1401847873512,711.4259945293846,568.8207009999969,711.4259945293848,2981.8875357768848,1735.3057797482102,1329.5201845703273,1367.8040667886003,C0001415_SEG_UNCOMP,0.13254531353211607,0.85308,0.95325,1.19367
0.3452,4.0,1000.1001756390441,356.73083538912937,318.3403240651222,356.7308353891293,1575.8373622197796,472.6884016555296,318.3403240651222,472.6884016555296,2297.5489579204273,1244.6895055108666,778.7668817804158,752.9909580007418,C0001415_SEG_UNCOMP,0.11723847267236899,0.72578,1.0019200000000001,1.2723
0.3135,5.0,576.4143454949981,268.21021381754963,260.84013407078595,268.2102138175497,1334.3645957402125,448.5435929474175,260.84013407078606,448.54359294741755,2041.4920067875712,1204.573947153598,690.0618213389006,571.3193048769948,C0001415_SEG_UNCOMP,0.22366475327117338,0.6837,1.0042,1.3121
0.44799999999999995,6.0,1541.6050515607956,607.1708012956648,517.7436482183646,607.1708012956649,2792.1783230363394,777.9303990406751,517.7436482183647,777.9303990406751,3182.278608225315,1893.181076082787,1204.0902313910644,1349.1414125623116,C0001415_SEG_UNCOMP,0.1667276194526104,0.70791,1.02252,1.26958
0.1624,1.0,155.98117735987924,73.53424397228709,60.8398261321879,73.53424397228709,482.36577261518414,128.60339868103523,60.83982613218791,128.60339868103523,768.4990219221244,386.67444288920717,170.6673587819364,159.2771211809476,C0001421_SEG_UNCOMP,0.2974052527623887,0.6792199999999999,1.00852,1.31227
0.2442,2.0,412.91032091646144,197.06651320161527,171.3011594673326,197.0665132016153,832.9631958752717,245.99793664361823,171.30115946733258,245.99793664361817,1519.6026179297553,695.918910392096,461.59826012066173,413.2678401519995,C0001421_SEG_UNCOMP,0.13224664985857773,0.69914,0.94324,1.35762
0.3336,3.0,567.8207879148727,280.56043779052067,260.01058679421936,280.5604377905207,1588.5798666931776,528.4789764255424,260.0105867942194,528.4789764255424,2701.159535841638,1497.8351529229215,696.0630816451634,563.2235353814466,C0001421_SEG_UNCOMP,0.09562707285033274,0.60378,0.97214,1.4240700000000002
0.302,4.0,474.16891304602535,222.28387008630943,209.73363670596294,222.28387008630946,1139.6920984265953,385.62113239023523,209.73363670596288,385.6211323902352,2128.404371773183,1132.4787599747756,538.1750672121971,466.20577469704233,C0001421_SEG_UNCOMP,0.13793321658415394,0.6328699999999999,0.98714,1.37999
0.1864,5.0,191.81013009827691,81.70352095524835,89.56957061601476,81.70352095524835,399.5104912365706,142.67792784229596,89.56957061601474,142.67792784229596,1000.8265350927583,444.64771179965004,258.26670284008264,182.14551360335295,C0001421_SEG_UNCOMP,0.26462657300663817,0.66328,0.95073,1.38599
0.3309,6.0,629.2243926545444,287.3810919154867,262.5312432301194,287.3810919154867,1433.3744210606617,449.8086335310027,262.5312432301193,449.8086335310026,2497.4269429538763,1211.496731563486,662.4246699070483,600.905693687527,C0001421_SEG_UNCOMP,0.1833497438365701,0.64083,0.9543799999999999,1.40479
0.2885,1.0,769.5199916022365,310.8887817674322,270.0537198515797,310.8887817674322,1210.19678792575,402.7810750310295,270.0537198515797,402.7810750310294,1675.4843247584915,1017.6888993294459,637.5612775389899,625.5136389243416,C0001427_SEG_UNCOMP,0.14302196884741042,0.78676,1.0220200000000002,1.1912200000000002
0.4205,2.0,1641.9229912108326,580.0033423707326,489.62797778371703,580.0033423707326,2187.979965706139,585.0953857871378,489.62797778371703,585.0953857871378,2711.0038272967768,1467.9049964078674,1211.7413187192935,1278.484659037513,C0001427_SEG_UNCOMP,0.2643942027063155,0.7979,0.9193,1.2828
0.2921,3.0,654.9731182817987,218.41437791597377,194.1824374375027,218.41437791597377,923.0236392356856,265.5801797736652,194.1824374375027,265.58017977366524,1241.525896010443,745.1239200172207,535.9493849363,531.1409734811538,C0001427_SEG_UNCOMP,0.2734467833242212,0.80861,0.9837899999999999,1.20761
0.4001,4.0,1046.718413402091,369.8393955185982,448.310339221484,369.83939551859817,1647.871168545988,558.3783392127216,448.31033922148407,558.3783392127216,2956.0916776040685,1485.7662537712392,1089.8861757172776,822.0773221178474,C0001427_SEG_UNCOMP,0.09059905770535495,0.7014199999999999,0.91785,1.38073
0.41200000000000003,5.0,1142.1843221530246,429.96218742053617,489.9811139190956,429.96218742053617,1957.6752561623211,642.647068475444,489.9811139190955,642.647068475444,3057.461149174935,1650.1468526026777,1162.370439249835,929.4533173327878,C0001427_SEG_UNCOMP,0.10125521682471274,0.6922699999999999,0.93284,1.37489
0.2555,6.0,455.3136740759148,210.6246994290217,193.14517837236374,210.62469942902166,846.6944204978981,326.1782519142543,193.14517837236374,326.1782519142543,1432.9708857593303,853.6535317678022,456.0855613055287,402.47938191281486,C0001427_SEG_UNCOMP,0.07544975104942112,0.7075600000000001,0.9731700000000001,1.3192700000000002
0.3344,1.0,828.1530573504763,297.1758774236789,262.02524688326736,297.1758774236789,1191.336588991931,350.5039568038418,262.02524688326736,350.5039568038418,1784.960897722432,989.5281656574392,688.4026363084381,690.8994485341395,C0001433_SEG_UNCOMP,0.170418204494747,0.7738,0.99467,1.2315399999999999
0.3327,2.0,994.1547576652939,328.12955218063263,265.08823863363597,328.1295521806327,1413.9281582089402,322.5992513355192,265.08823863363597,322.5992513355192,1811.6200777807367,890.7328626254853,763.0694957507985,805.8431265023096,C0001433_SEG_UNCOMP,0.35049924536593785,0.81996,0.9173100000000001,1.26273
0.318,3.0,910.3572609790942,303.3708239952013,246.21208272387977,303.37082399520136,1213.5440982998455,294.26846412098683,246.21208272387972,294.2684641209868,1769.8474014664246,794.7926693658037,673.9047717016254,718.3624611039353,C0001433_SEG_UNCOMP,0.31498488188473933,0.84395,0.91804,1.23801
0.2596,4.0,456.78498683056307,204.4743521264286,179.01105825365758,204.47435212642858,629.0142987685266,225.64909420782547,179.01105825365758,225.64909420782547,1594.7459791908539,646.4259015550123,500.26285017963005,399.1191305320197,C0001433_SEG_UNCOMP,0.1290197295915209,0.72992,0.8534,1.41668
0.2667,5.0,424.707075842862,166.82425423602677,208.23497892807686,166.82425423602677,674.8656934219347,237.29452410622326,208.23497892807686,237.29452410622326,1760.2672336701337,654.8971694780843,551.5113347561936,320.5820808902725,C0001433_SEG_UNCOMP,0.09816779126738831,0.7327600000000001,0.8276899999999999,1.43955
0.3512,6.0,809.3717438481582,346.9130790574474,339.31140693715884,346.9130790574474,1208.1470360887558,436.7084798447403,339.31140693715884,436.7084798447404,2467.6739429776744,1178.7333769252139,915.0047161523155,679.8727346921696,C0001433_SEG_UNCOMP,0.1352275900635042,0.7262,0.8672200000000001,1.40658
0.289,1.0,546.4242656494692,200.01432296092233,175.8574085990292,200.0143229609223,868.7903620181994,234.65456371850408,175.8574085990292,234.6545637185041,1334.0353166497705,689.2563690488034,496.6223126089949,491.380602607847,C0001439_SEG_UNCOMP,0.20688395157082318,0.77075,0.93845,1.29081
